City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,crane,31.3974,-102.3501,16.41,20,40,9.36,US,1711414154
162,klyuchi,52.2667,79.1667,-5.99,99,76,0.63,RU,1711414155
163,bathsheba,13.2167,-59.5167,27.34,78,40,5.66,BB,1711414156
164,raduzhny,62.0961,77.475,-31.78,100,15,0.81,RU,1711414050
165,richmond hill,43.8711,-79.4372,7.02,61,14,5.58,CA,1711414036
166,college,64.8569,-147.8028,9.18,46,75,0.0,US,1711414158
167,coahuayana de hidalgo,18.7,-103.6583,21.85,69,5,2.38,MX,1711414158
168,kushiro,42.975,144.3747,4.53,35,20,2.57,JP,1711413957
169,cockburn town,21.4612,-71.1419,24.71,67,7,6.99,TC,1711414058
170,sao vicente,-23.9631,-46.3919,25.1,26,25,1.54,BR,1711414025
171,kavieng,-2.5744,150.7967,29.31,73,100,1.87,PG,1711414161
172,upata,8.0086,-62.3989,29.0,61,79,3.36,VE,1711414162
173,sitka,57.0531,-135.33,6.94,87,100,4.63,US,1711414163
174,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,70,75,8.05,RU,1711414163
175,lihue,21.9789,-159.3672,24.09,75,40,5.14,US,1711414164
176,vrangel',42.7297,133.0839,4.01,36,100,0.93,RU,1711414165
177,ola,59.5833,151.2833,-7.62,76,22,0.5,RU,1711414166
178,thompson,55.7435,-97.8558,-8.91,24,0,1.54,CA,1711414167
179,patong,7.8961,98.2966,27.08,73,100,6.41,TH,1711414167
180,atafu village,-8.5421,-172.5159,29.62,74,99,5.79,TK,1711414168
181,mugia,43.1041,-9.2179,5.51,62,67,4.44,ES,1711414169
182,kapit,2.0167,112.9333,25.83,97,100,0.12,MY,1711414169
183,lamu,-2.2717,40.902,27.86,81,99,3.12,KE,1711414170
184,sirte,31.2089,16.5887,21.83,27,48,9.66,LY,1711414171
185,kirkland lake,48.1446,-80.0377,2.16,51,100,1.54,CA,1711414171
186,pimenta bueno,-11.6725,-61.1936,23.56,97,100,0.51,BR,1711414172
187,baise city,23.8997,106.6133,23.7,82,92,2.13,CN,1711414173
188,uttamapalaiyam,9.8,77.3333,21.08,84,9,0.58,IN,1711414174
189,igarka,67.4667,86.5833,-33.18,95,6,3.32,RU,1711414174
190,dolisie,-4.1997,12.6739,23.63,96,100,0.92,CG,1711414175
191,mount gambier,-37.8333,140.7667,16.74,61,100,3.24,AU,1711414156
192,fortuna,40.5982,-124.1573,12.77,80,75,3.6,US,1711414176
193,port mathurin,-19.6833,63.4167,24.85,78,100,9.45,MU,1711414177
194,llallagua,-18.4167,-66.6333,8.35,74,20,3.78,BO,1711414178
